test	result
GLOBAL	FAIL
TestACLs	FAIL
TestBannedUserCannotSendJoin	FAIL
TestCannotSendKnockViaSendKnockInMSC3787Room	FAIL
TestCannotSendNonJoinViaSendJoinV1	FAIL
TestCannotSendNonJoinViaSendJoinV2	FAIL
TestCannotSendNonKnockViaSendKnock	FAIL
TestCannotSendNonLeaveViaSendLeaveV1	FAIL
TestCannotSendNonLeaveViaSendLeaveV2	FAIL
TestClientSpacesSummary	FAIL
TestClientSpacesSummary/max_depth	FAIL
TestClientSpacesSummary/pagination	FAIL
TestClientSpacesSummary/query_whole_graph	FAIL
TestClientSpacesSummary/redact_link	FAIL
TestClientSpacesSummary/suggested_only	FAIL
TestClientSpacesSummaryJoinRules	FAIL
TestDeviceListsUpdateOverFederation	FAIL
TestDeviceListsUpdateOverFederation/good_connectivity	FAIL
TestDeviceListsUpdateOverFederation/interrupted_connectivity	FAIL
TestDeviceListsUpdateOverFederation/stopped_server	FAIL
TestDeviceListsUpdateOverFederationOnRoomJoin	FAIL
TestEventAuth	FAIL
TestFederatedClientSpaces	FAIL
TestFederationKeyUploadQuery	FAIL
TestFederationRedactSendsWithoutEvent	FAIL
TestFederationRejectInvite	FAIL
TestFederationRoomsInvite	FAIL
TestFederationRoomsInvite/Parallel	FAIL
TestFederationRoomsInvite/Parallel/Invited_user_can_reject_invite_over_federation	FAIL
TestFederationRoomsInvite/Parallel/Invited_user_can_reject_invite_over_federation_for_empty_room	FAIL
TestFederationRoomsInvite/Parallel/Invited_user_can_reject_invite_over_federation_several_times	FAIL
TestFederationRoomsInvite/Parallel/Invited_user_has_'is_direct'_flag_in_prev_content_after_joining	FAIL
TestFederationRoomsInvite/Parallel/Remote_invited_user_can_see_room_metadata	FAIL
TestGetMissingEventsGapFilling	FAIL
TestInboundCanReturnMissingEvents	FAIL
TestInboundCanReturnMissingEvents/Inbound_federation_can_return_missing_events_for_invited_visibility	FAIL
TestInboundCanReturnMissingEvents/Inbound_federation_can_return_missing_events_for_joined_visibility	FAIL
TestInboundCanReturnMissingEvents/Inbound_federation_can_return_missing_events_for_shared_visibility	FAIL
TestInboundCanReturnMissingEvents/Inbound_federation_can_return_missing_events_for_world_readable_visibility	FAIL
TestInboundFederationKeys	PASS
TestInboundFederationProfile	FAIL
TestInboundFederationProfile/Inbound_federation_can_query_profile_data	FAIL
TestInboundFederationProfile/Non-numeric_ports_in_server_names_are_rejected	FAIL
TestInboundFederationRejectsEventsWithRejectedAuthEvents	FAIL
TestIsDirectFlagFederation	FAIL
TestIsDirectFlagLocal	PASS
TestJoinFederatedRoomFailOver	FAIL
TestJoinFederatedRoomFromApplicationServiceBridgeUser	FAIL
TestJoinFederatedRoomFromApplicationServiceBridgeUser/join_remote_federated_room_as_application_service_user	FAIL
TestJoinFederatedRoomWithUnverifiableEvents	FAIL
TestJoinFederatedRoomWithUnverifiableEvents//send_join_response_missing_signatures_shouldn't_block_room_join	FAIL
TestJoinFederatedRoomWithUnverifiableEvents//send_join_response_with_bad_signatures_shouldn't_block_room_join	FAIL
TestJoinFederatedRoomWithUnverifiableEvents//send_join_response_with_state_with_unverifiable_auth_events_shouldn't_block_room_join	FAIL
TestJoinFederatedRoomWithUnverifiableEvents//send_join_response_with_unobtainable_keys_shouldn't_block_room_join	FAIL
TestJoinViaRoomIDAndServerName	FAIL
TestJumpToDateEndpoint	FAIL
TestJumpToDateEndpoint/parallel	FAIL
TestJumpToDateEndpoint/parallel/federation	FAIL
TestJumpToDateEndpoint/parallel/federation/can_paginate_after_getting_remote_event_from_timestamp_to_event_endpoint	FAIL
TestJumpToDateEndpoint/parallel/federation/looking_backwards,_should_be_able_to_find_event_that_was_sent_before_we_joined	FAIL
TestJumpToDateEndpoint/parallel/federation/looking_forwards,_should_be_able_to_find_event_that_was_sent_before_we_joined	FAIL
TestJumpToDateEndpoint/parallel/federation/when_looking_backwards_before_the_room_was_created,_should_be_able_to_find_event_that_was_imported	FAIL
TestJumpToDateEndpoint/parallel/should_find_event_after_given_timestmap	FAIL
TestJumpToDateEndpoint/parallel/should_find_event_before_given_timestmap	FAIL
TestJumpToDateEndpoint/parallel/should_find_next_event_topologically_after_given_timestmap_when_all_message_timestamps_are_the_same	FAIL
TestJumpToDateEndpoint/parallel/should_find_next_event_topologically_before_given_timestamp_when_all_message_timestamps_are_the_same	FAIL
TestJumpToDateEndpoint/parallel/should_find_nothing_after_the_latest_timestmap	PASS
TestJumpToDateEndpoint/parallel/should_find_nothing_before_the_earliest_timestmap	PASS
TestJumpToDateEndpoint/parallel/should_not_be_able_to_query_a_private_room_you_are_not_a_member_of	FAIL
TestJumpToDateEndpoint/parallel/should_not_be_able_to_query_a_public_room_you_are_not_a_member_of	FAIL
TestKnockRoomsInPublicRoomsDirectory	FAIL
TestKnockRoomsInPublicRoomsDirectoryInMSC3787Room	FAIL
TestKnocking	FAIL
TestKnockingInMSC3787Room	FAIL
TestLocalPngThumbnail	PASS
TestMediaFilenames	FAIL
TestMediaFilenames/Parallel	FAIL
TestMediaFilenames/Parallel/ASCII	FAIL
TestMediaFilenames/Parallel/ASCII/Can_download_file_'ascii'	FAIL
TestMediaFilenames/Parallel/ASCII/Can_download_file_'name;with;semicolons'	FAIL
TestMediaFilenames/Parallel/ASCII/Can_download_file_'name_with_spaces'	FAIL
TestMediaFilenames/Parallel/ASCII/Can_download_specifying_a_different_ASCII_file_name	PASS
TestMediaFilenames/Parallel/ASCII/Can_upload_with_ASCII_file_name	PASS
TestMediaFilenames/Parallel/Unicode	FAIL
TestMediaFilenames/Parallel/Unicode/Can_download_specifying_a_different_Unicode_file_name	FAIL
TestMediaFilenames/Parallel/Unicode/Can_download_with_Unicode_file_name_locally	FAIL
TestMediaFilenames/Parallel/Unicode/Can_download_with_Unicode_file_name_over_federation	FAIL
TestMediaFilenames/Parallel/Unicode/Can_upload_with_Unicode_file_name	PASS
TestMediaFilenames/Parallel/Unicode/Will_serve_safe_media_types_as_inline	SKIP
TestMediaFilenames/Parallel/Unicode/Will_serve_safe_media_types_with_parameters_as_inline	SKIP
TestMediaFilenames/Parallel/Unicode/Will_serve_unsafe_media_types_as_attachments	SKIP
TestMediaWithoutFileName	FAIL
TestMediaWithoutFileName/parallel	FAIL
TestMediaWithoutFileName/parallel/Can_download_without_a_file_name_locally	PASS
TestMediaWithoutFileName/parallel/Can_download_without_a_file_name_over_federation	FAIL
TestMediaWithoutFileName/parallel/Can_upload_without_a_file_name	PASS
TestNetworkPartitionOrdering	FAIL
TestOutboundFederationIgnoresMissingEventWithBadJSONForRoomVersion6	FAIL
TestOutboundFederationProfile	FAIL
TestOutboundFederationProfile/Outbound_federation_can_query_profile_data	FAIL
TestOutboundFederationSend	FAIL
TestRemoteAliasRequestsUnderstandUnicode	FAIL
TestRemotePngThumbnail	FAIL
TestRemotePresence	FAIL
TestRemoteTyping	FAIL
TestRestrictedRoomsLocalJoin	FAIL
TestRestrictedRoomsLocalJoin/Join_should_fail_initially	PASS
